doi	fk_idx	cole_idx	date
42254-024-00766-5	15.6	30.54	2024-09-30T00:00:00Z
42254-024-00764-7	25.3	41.53	2024-10-03T00:00:00Z
42255-024-01086-9	19.5	31.72	2024-07-19T00:00:00Z
42256-024-00869-9	17.2	25.75	2024-07-17T00:00:00Z
42255-024-01050-7	17.6	26.05	2024-05-22T00:00:00Z
42255-024-01058-z	17.0	24.47	2024-05-27T00:00:00Z
42254-024-00730-3	17.7	14.23	2024-05-30T00:00:00Z
42255-024-01069-w	17.4	57.47	2024-06-03T00:00:00Z
42255-024-01026-7	17.4	18.0	2024-03-19T00:00:00Z
42254-024-00763-8	15.6	29.38	2024-09-23T00:00:00Z
42255-024-01038-3	17.9	29.51	2024-04-30T00:00:00Z
42255-023-00959-9	16.3	26.78	2024-05-01T00:00:00Z
42254-024-00723-2	15.2	21.92	2024-05-09T00:00:00Z
42255-024-01042-7	17.5	24.35	2024-05-08T00:00:00Z
42255-024-01040-9	14.7	21.34	2024-05-20T00:00:00Z
42255-024-00975-3	18.1	26.04	2024-02-19T00:00:00Z
42255-024-01009-8	17.9	27.61	2024-02-28T00:00:00Z
44183-024-00073-7	18.9	30.1	2024-08-10T00:00:00Z
44185-024-00061-7	19.2	30.15	2024-09-17T00:00:00Z
44184-024-00055-0	16.6	50.06	2024-02-15T00:00:00Z
44168-024-00101-9	16.4	52.49	2024-02-08T00:00:00Z
44185-024-00051-9	17.6	29.45	2024-08-21T00:00:00Z
44168-024-00139-9	17.7	26.91	2024-07-12T00:00:00Z
44168-024-00120-6	22.0	32.13	2024-05-08T00:00:00Z
44184-024-00065-y	16.3	19.9	2024-07-02T00:00:00Z
44168-024-00099-0	16.4	52.96	2024-01-20T00:00:00Z
44185-024-00050-w	20.9	31.33	2024-08-02T00:00:00Z
44183-024-00076-4	14.3	32.49	2024-08-07T00:00:00Z
44168-024-00149-7	15.6	25.05	2024-08-08T00:00:00Z
44184-024-00068-9	20.0	34.44	2024-07-02T00:00:00Z
44185-024-00047-5	20.3	34.48	2024-07-05T00:00:00Z
44168-024-00150-0	16.5	19.9	2024-08-02T00:00:00Z
44183-024-00053-x	17.2	26.79	2024-03-21T00:00:00Z
44183-024-00075-5	19.4	22.92	2024-07-26T00:00:00Z
44184-023-00053-8	18.3	29.51	2024-02-20T00:00:00Z
44172-024-00207-2	63.4	164.92	2024-05-07T00:00:00Z
44168-024-00126-0	17.9	26.85	2024-05-08T00:00:00Z
44168-023-00092-z	16.6	25.51	2024-02-13T00:00:00Z
44168-024-00131-3	17.2	28.18	2024-06-14T00:00:00Z
44172-024-00223-2	15.5	24.3	2024-06-10T00:00:00Z
44168-024-00127-z	17.0	25.57	2024-06-07T00:00:00Z
44168-024-00130-4	18.4	30.79	2024-06-14T00:00:00Z
44168-024-00133-1	16.5	25.52	2024-06-14T00:00:00Z
44185-024-00046-6	21.2	37.45	2024-06-05T00:00:00Z
44168-024-00117-1	38.2	55.12	2024-06-14T00:00:00Z
44183-023-00039-1	17.4	24.93	2024-01-11T00:00:00Z
44172-024-00218-z	18.2	21.81	2024-05-24T00:00:00Z
44168-024-00128-y	16.8	25.69	2024-06-03T00:00:00Z
44168-024-00138-w	14.4	16.65	2024-06-28T00:00:00Z
44168-024-00116-2	17.6	29.74	2024-05-08T00:00:00Z
44284-024-00126-5	18.3	29.4	2024-09-11T00:00:00Z
44401-024-00005-0	15.2	25.97	2024-12-23T00:00:00Z
44286-024-00120-7	23.3	46.8	2024-08-14T00:00:00Z
44284-024-00117-6	18.2	28.3	2024-08-27T00:00:00Z
44284-024-00106-9	17.2	27.08	2024-08-26T00:00:00Z
44325-024-00039-1	18.4	24.42	2024-12-18T00:00:00Z
44304-024-00036-5	16.3	26.61	2024-12-18T00:00:00Z
44304-024-00046-3	15.4	24.69	2024-12-18T00:00:00Z
44334-024-00011-y	15.4	24.98	2024-12-18T00:00:00Z
44284-024-00135-4	15.1	55.03	2024-09-09T00:00:00Z
44287-024-00100-2	19.0	54.24	2024-09-05T00:00:00Z
44284-024-00100-1	14.4	24.4	2024-08-05T00:00:00Z
44260-024-00019-7	19.8	57.0	2024-10-07T00:00:00Z
44260-024-00011-1	17.2	27.48	2024-07-02T00:00:00Z
44325-024-00010-0	20.7	31.9	2024-07-02T00:00:00Z
44310-024-00022-9	16.7	30.19	2024-07-02T00:00:00Z
44323-024-00002-4	16.9	25.8	2024-07-02T00:00:00Z
44310-024-00023-8	17.2	30.66	2024-07-02T00:00:00Z
44310-024-00021-w	18.5	31.18	2024-07-02T00:00:00Z
44304-024-00034-7	22.6	36.42	2024-11-22T00:00:00Z
44287-024-00044-7	17.4	30.61	2024-05-07T00:00:00Z
44385-024-00002-w	16.5	28.41	2024-11-13T00:00:00Z
44323-024-00001-5	16.9	26.9	2024-06-19T00:00:00Z
44310-024-00015-8	16.9	29.5	2024-06-28T00:00:00Z
44304-024-00019-6	16.1	26.02	2024-06-19T00:00:00Z
44328-024-00004-z	17.2	28.35	2024-06-26T00:00:00Z
44328-024-00002-1	18.2	29.11	2024-06-26T00:00:00Z
44333-024-00004-6	20.6	32.76	2024-06-27T00:00:00Z
44310-024-00016-7	19.0	34.37	2024-07-01T00:00:00Z
44328-024-00003-0	17.3	30.66	2024-06-26T00:00:00Z
44221-024-00303-9	17.0	26.73	2024-09-10T00:00:00Z
44298-024-00074-w	16.5	24.42	2024-12-09T00:00:00Z
44220-024-00298-y	17.3	27.6	2024-08-05T00:00:00Z
44276-024-00108-z	17.5	27.32	2024-10-21T00:00:00Z
44220-024-00279-1	17.6	30.38	2024-07-01T00:00:00Z
