,doi,fk_idx,cole_idx,date
13,s41560-020-0614-9,15.1,17.35,2020-04-08T00:00:00Z
14,s41564-020-0699-8,18.5,24.19,2020-03-26T00:00:00Z
15,s41392-020-00366-6,17.6,24.82,2020-10-30T00:00:00Z
16,s41392-020-00369-3,16.2,26.2,2020-10-30T00:00:00Z
17,s41564-020-0696-y,20.5,32.19,2020-03-26T00:00:00Z
18,s41392-020-00364-8,17.8,26.9,2020-10-30T00:00:00Z
19,s41392-020-00365-7,16.7,30.77,2020-10-30T00:00:00Z
20,s41392-020-0189-8,36.3,59.52,2020-06-12T00:00:00Z
21,s41392-020-0184-0,36.3,63.35,2020-06-12T00:00:00Z
22,s41392-020-0188-9,27.3,43.5,2020-06-12T00:00:00Z
23,s41392-020-00342-0,18.1,30.15,2020-11-06T00:00:00Z
24,s41541-020-0195-4,17.2,25.86,2020-06-02T00:00:00Z
25,s41535-020-0235-3,16.4,28.7,2020-06-03T00:00:00Z
26,s41539-020-0066-9,15.6,25.92,2020-06-04T00:00:00Z
27,s41541-020-0191-8,16.0,26.85,2020-06-02T00:00:00Z
28,s41535-020-0236-2,16.0,29.79,2020-06-01T00:00:00Z
29,s41541-020-0192-7,17.8,25.58,2020-06-04T00:00:00Z
30,s41560-019-0546-4,19.0,31.77,2020-02-10T00:00:00Z
31,s41578-020-0207-z,18.6,24.53,2020-06-04T00:00:00Z
0,s41526-020-00125-5,17.0,27.14,2020-12-01T00:00:00Z
1,s41534-020-00326-6,16.5,28.8,2020-12-02T00:00:00Z
2,s41522-020-00170-8,16.9,28.92,2020-12-02T00:00:00Z
3,s41522-020-00166-4,17.9,28.12,2020-12-02T00:00:00Z
4,s41421-020-00213-6,15.8,30.08,2020-12-01T00:00:00Z
5,s41378-020-00204-3,14.5,25.85,2020-11-30T00:00:00Z
6,s41524-020-00449-6,16.9,31.42,2020-11-30T00:00:00Z
7,s41378-020-00216-z,15.1,25.62,2020-11-30T00:00:00Z
8,s41420-020-00360-5,17.2,26.79,2020-11-30T00:00:00Z
9,s41378-020-00214-1,17.3,28.69,2020-11-30T00:00:00Z
10,s41378-020-00215-0,17.1,29.1,2020-11-30T00:00:00Z
11,s41405-020-00054-1,15.8,25.98,2020-11-28T00:00:00Z
12,s41378-020-00220-3,16.2,28.75,2020-11-30T00:00:00Z
13,s41405-020-00046-1,15.4,23.77,2020-09-23T00:00:00Z
14,s41405-020-00044-3,16.2,25.33,2020-09-24T00:00:00Z
15,s41524-020-00412-5,15.6,27.76,2020-09-25T00:00:00Z
16,s41522-020-00167-3,15.9,27.47,2020-11-27T00:00:00Z
17,s41524-020-00451-y,16.8,30.25,2020-11-27T00:00:00Z
18,s41540-020-00155-5,18.0,28.01,2020-11-27T00:00:00Z
19,s41420-020-00368-x,16.2,27.88,2020-11-27T00:00:00Z
